software,is_tool,report_id
homefry,f,4734
homefry,f,4734
blackcoffee,f,4734
blackcoffee,f,4734
orz,f,4734
airbreak,f,4734
orz,f,4734
derusbi,f,4734
derusbi,f,4734
photo,f,4734
china chopper,f,4734
china chopper,f,4734
nanhaishu,f,4734
nanhaishu,f,4734
murkytop,f,4734
murkytop,f,4734
bitsadmin,t,4734
bitsadmin,t,4734
cobalt strike,t,4734
cobalt strike,t,4734
rarstone,f,4735
rarstone,f,4735
sslmm,f,4735
sslmm,f,4735
winmm,f,4735
winmm,f,4735
sys10,f,4735
sys10,f,4735
hdoor,f,4735
hdoor,f,4735
custom hdoor,f,4735
tasklist,t,4735
tasklist,t,4735
ftp,t,4735
ftp,t,4735
ftp.exe,t,4735
ping,t,4735
ping.exe,t,4735
ping,t,4735
netsh,t,4735
netsh,t,4735
netsh.exe,t,4735
psexec,t,4735
psexec,t,4735
net,t,4735
net,t,4735
net.exe,t,4735
systeminfo,t,4735
systeminfo.exe,t,4735
systeminfo,t,4735
proxysvc,f,4741
proxysvc,f,4741
ratankba,f,4741
ratankba,f,4741
fallchill,f,4741
fallchill,f,4741
keymarble,f,4741
keymarble,f,4741
typeframe,f,4741
typeframe,f,4741
bankshot,f,4741
bankshot,f,4741
trojan manuscript,f,4741
volgmer,f,4741
volgmer,f,4741
hardrain,f,4741
hardrain,f,4741
badcall,f,4741
badcall,f,4741
mimikatz,t,4741
mimikatz,t,4741
netsh,t,4741
netsh,t,4741
netsh.exe,t,4741
psexec,t,4746
psexec,t,4746
mimikatz,t,4746
mimikatz,t,4746
catchamas,f,4748
catchamas,f,4748
psexec,t,4748
psexec,t,4748
mimikatz,t,4748
mimikatz,t,4748
net crawler,f,4750
net crawler,f,4750
netc,f,4750
tinyzbot,f,4750
tinyzbot,f,4750
psexec,t,4750
psexec,t,4750
mimikatz,t,4750
mimikatz,t,4750
miragefox,f,4753
miragefox,f,4753
tasklist,t,4753
tasklist,t,4753
mimikatz,t,4753
mimikatz,t,4753
ping,t,4753
ping.exe,t,4753
ping,t,4753
netstat,t,4753
netstat,t,4753
netstat.exe,t,4753
spwebmember,t,4753
spwebmember,t,4753
net,t,4753
net,t,4753
net.exe,t,4753
systeminfo,t,4753
systeminfo.exe,t,4753
systeminfo,t,4753
ipconfig,t,4753
ipconfig,t,4753
ipconfig.exe,t,4753
s-type,f,4756
s-type,f,4756
zlib,f,4756
zlib,f,4756
mis-type,f,4756
mis-type,f,4756
misdat,f,4756
misdat,f,4756
ixeshe,f,4758
ixeshe,f,4758
riptide,f,4758
riptide,f,4758
mivast,f,4761
mivast,f,4761
sakula,f,4761
sakula,f,4761
sakurel,f,4761
viper,f,4761
streamex,f,4761
streamex,f,4761
derusbi,f,4761
derusbi,f,4761
photo,f,4761
tasklist,t,4761
tasklist,t,4761
ping,t,4761
ping.exe,t,4761
ping,t,4761
net,t,4761
net,t,4761
net.exe,t,4761
winnti,f,4768
winnti,f,4768
tdtess,f,4774
tdtess,f,4774
cobalt strike,t,4774
cobalt strike,t,4774
felismus,f,4777
felismus,f,4777
starloader,f,4777
starloader,f,4777
dustysky,f,4781
dustysky,f,4781
ned worm,f,4781
poisonivy,f,4781
poisonivy,f,4781
poison ivy,f,4781
darkmoon,f,4781
plugx,f,4785
plugx,f,4785
sogu,f,4785
kaba,f,4785
korplug,f,4785
shotput,f,4785
shotput,f,4785
backdoor.apt.cookiecutter,f,4785
pirpi,f,4785
osinfo,f,4785
osinfo,f,4785
remotecmd,f,4785
remotecmd,f,4785
schtasks,t,4785
schtasks,t,4785
schtasks.exe,t,4785
shipshape,f,4792
shipshape,f,4792
flashflood,f,4792
flashflood,f,4792
spaceship,f,4792
spaceship,f,4792
backspace,f,4792
backspace,f,4792
lecna,f,4792
neteagle,f,4792
neteagle,f,4792
flipside,f,4795
flipside,f,4795
rawpos,f,4795
rawpos,f,4795
fiendcry,f,4795
duebrew,f,4795
driftwood,f,4795
psexec,t,4795
psexec,t,4795
pwdump,t,4795
pwdump,t,4795
sdelete,t,4795
sdelete,t,4795
windows credential editor,t,4795
windows credential editor,t,4795
wce,t,4795
powruner,f,4799
powruner,f,4799
isminjector,f,4799
isminjector,f,4799
rgdoor,f,4799
rgdoor,f,4799
quadagent,f,4799
quadagent,f,4799
seasharpee,f,4799
seasharpee,f,4799
helminth,f,4799
helminth,f,4799
oopsie,f,4799
oopsie,f,4799
tasklist,t,4799
tasklist,t,4799
mimikatz,t,4799
mimikatz,t,4799
ftp,t,4799
ftp,t,4799
ftp.exe,t,4799
netstat,t,4799
netstat,t,4799
netstat.exe,t,4799
psexec,t,4799
psexec,t,4799
net,t,4799
net,t,4799
net.exe,t,4799
systeminfo,t,4799
systeminfo.exe,t,4799
systeminfo,t,4799
reg,t,4799
reg,t,4799
reg.exe,t,4799
ipconfig,t,4799
ipconfig,t,4799
ipconfig.exe,t,4799
certutil,t,4799
certutil,t,4799
certutil.exe,t,4799
cobalt strike,t,4807
cobalt strike,t,4807
rtm,f,4813
rtm,f,4813
plugx,f,4816
plugx,f,4816
sogu,f,4816
kaba,f,4816
korplug,f,4816
aspxspy,f,4816
aspxspy,f,4816
aspxtool,f,4816
china chopper,f,4816
china chopper,f,4816
owaauth,f,4816
owaauth,f,4816
httpbrowser,f,4816
httpbrowser,f,4816
token control,f,4816
httpdump,f,4816
gsecdump,t,4816
gsecdump,t,4816
mimikatz,t,4816
mimikatz,t,4816
windows credential editor,t,4816
windows credential editor,t,4816
wce,t,4816
net,t,4816
net,t,4816
net.exe,t,4816
ipconfig,t,4816
ipconfig,t,4816
ipconfig.exe,t,4816
nidiran,f,4824
nidiran,f,4824
backdoor.nidiran,f,4824
remsec,f,4827
remsec,f,4827
backdoor.remsec,f,4827
projectsauron,f,4827
wingbird,f,4831
wingbird,f,4831
glooxmail,f,4839
glooxmail,f,4839
trojan.gtalk,f,4839
calendar,f,4839
calendar,f,4839
biscuit,f,4839
biscuit,f,4839
webc2,f,4839
webc2,f,4839
poisonivy,f,4839
poisonivy,f,4839
poison ivy,f,4839
darkmoon,f,4839
gsecdump,t,4839
gsecdump,t,4839
pass-the-hash toolkit,t,4839
pass-the-hash toolkit,t,4839
tasklist,t,4839
tasklist,t,4839
mimikatz,t,4839
mimikatz,t,4839
net,t,4839
net,t,4839
net.exe,t,4839
lslsass,t,4839
lslsass,t,4839
pwdump,t,4839
pwdump,t,4839
cachedump,t,4839
cachedump,t,4839
xcmd,t,4839
xcmd,t,4839
ipconfig,t,4839
ipconfig,t,4839
ipconfig.exe,t,4839
pteranodon,f,4842
pteranodon,f,4842
textmate,f,4844
textmate,f,4844
dnsmessenger,f,4844
powersource,f,4844
powersource,f,4844
dnsmessenger,f,4844
halfbaked,f,4844
halfbaked,f,4844
carbanak,f,4844
carbanak,f,4844
anunak,f,4844
poisonivy,f,4851
poisonivy,f,4851
poison ivy,f,4851
darkmoon,f,4851
powerstats,f,4853
powerstats,f,4853
mimikatz,t,4853
mimikatz,t,4853
kwampirs,f,4856
kwampirs,f,4856
cmd,t,4856
cmd,t,4856
cmd.exe,t,4856
route,t,4856
route,t,4856
route.exe,t,4856
netstat,t,4856
netstat,t,4856
netstat.exe,t,4856
net,t,4856
net,t,4856
net.exe,t,4856
systeminfo,t,4856
systeminfo.exe,t,4856
systeminfo,t,4856
arp,t,4856
arp,t,4856
arp.exe,t,4856
ipconfig,t,4856
ipconfig,t,4856
ipconfig.exe,t,4856
ndiskmonitor,f,4858
ndiskmonitor,f,4858
socksbot,f,4858
socksbot,f,4858
badnews,f,4858
badnews,f,4858
autoit backdoor,f,4858
autoit backdoor,f,4858
unknown logger,f,4858
unknown logger,f,4858
tinytyphon,f,4858
tinytyphon,f,4858
quasarrat,t,4858
quasarrat,t,4858
xrat,t,4858
powersploit,t,4858
powersploit,t,4858
gh0st,f,4866
gh0st,f,4866
blackenergy,f,4871
blackenergy,f,4871
black energy,f,4871
reg,t,4878
reg,t,4878
reg.exe,t,4878
psexec,t,4878
psexec,t,4878
net,t,4878
net,t,4878
net.exe,t,4878
netsh,t,4878
netsh,t,4878
netsh.exe,t,4878
reg,t,4882
reg,t,4882
reg.exe,t,4882
tasklist,t,4882
tasklist,t,4882
systeminfo,t,4882
systeminfo.exe,t,4882
systeminfo,t,4882
cmd,t,4882
cmd,t,4882
cmd.exe,t,4882
plugx,f,4884
plugx,f,4884
sogu,f,4884
kaba,f,4884
korplug,f,4884
poisonivy,f,4884
poisonivy,f,4884
poison ivy,f,4884
darkmoon,f,4884
crossrat,f,4887
crossrat,f,4887
finfisher,f,4887
finfisher,f,4887
finspy,f,4887
bandook,f,4887
bandook,f,4887
mimikatz,t,4889
mimikatz,t,4889
pupy,t,4889
pupy,t,4889
psexec,t,4889
psexec,t,4889
sqlmap,t,4889
sqlmap,t,4889
havij,t,4889
havij,t,4889
daserf,f,4894
daserf,f,4894
muirim,f,4894
nioupale,f,4894
gsecdump,t,4894
gsecdump,t,4894
mimikatz,t,4894
mimikatz,t,4894
cmd,t,4894
cmd,t,4894
cmd.exe,t,4894
schtasks,t,4894
schtasks,t,4894
schtasks.exe,t,4894
at,t,4894
at,t,4894
at.exe,t,4894
windows credential editor,t,4894
windows credential editor,t,4894
wce,t,4894
net,t,4894
net,t,4894
net.exe,t,4894
more_eggs,f,4898
more_eggs,f,4898
psexec,t,4898
psexec,t,4898
mimikatz,t,4898
mimikatz,t,4898
cobalt strike,t,4898
cobalt strike,t,4898
sdelete,t,4898
sdelete,t,4898
punchtrack,f,4908
punchtrack,f,4908
psvc,f,4908
punchbuggy,f,4908
punchbuggy,f,4908
net,t,4908
net,t,4908
net.exe,t,4908
dsquery,t,4908
dsquery,t,4908
dsquery.exe,t,4908
plugx,f,4911
plugx,f,4911
sogu,f,4911
kaba,f,4911
korplug,f,4911
nettraveler,f,4911
nettraveler,f,4911
zerot,f,4911
zerot,f,4911
gh0st,f,4911
gh0st,f,4911
psexec,t,4913
psexec,t,4913
net,t,4913
net,t,4913
net.exe,t,4913
roguerobin,f,4915
roguerobin,f,4915
mimikatz,t,4915
mimikatz,t,4915
cobalt strike,t,4915
cobalt strike,t,4915
trojan.karagany,f,4918
trojan.karagany,f,4918
backdoor.oldrea,f,4918
backdoor.oldrea,f,4918
havex,f,4918
linfo,f,4922
linfo,f,4922
nerex,f,4922
nerex,f,4922
naid,f,4922
naid,f,4922
vasport,f,4922
vasport,f,4922
poisonivy,f,4922
poisonivy,f,4922
poison ivy,f,4922
darkmoon,f,4922
briba,f,4922
briba,f,4922
wiarp,f,4922
wiarp,f,4922
hydraq,f,4922
hydraq,f,4922
aurora,f,4922
9002 rat,f,4922
pasam,f,4922
pasam,f,4922
powerduke,f,4926
powerduke,f,4926
pinchduke,f,4926
pinchduke,f,4926
hammertoss,f,4926
hammertoss,f,4926
hammerduke,f,4926
netduke,f,4926
cozycar,f,4926
cozycar,f,4926
cozyduke,f,4926
cozybear,f,4926
cozer,f,4926
euroapt,f,4926
miniduke,f,4926
miniduke,f,4926
cloudduke,f,4926
cloudduke,f,4926
minidionis,f,4926
cloudlook,f,4926
cosmicduke,f,4926
cosmicduke,f,4926
tinybaron,f,4926
botgenstudios,f,4926
nemesisgemina,f,4926
geminiduke,f,4926
geminiduke,f,4926
onionduke,f,4926
onionduke,f,4926
poshspy,f,4926
poshspy,f,4926
seaduke,f,4926
seaduke,f,4926
seadaddy,f,4926
seadesk,f,4926
mimikatz,t,4926
mimikatz,t,4926
psexec,t,4926
psexec,t,4926
sdelete,t,4926
sdelete,t,4926
tor,t,4926
tor,t,4926
meek,t,4926
meek,t,4926
hikit,f,4930
hikit,f,4930
hydraq,f,4930
hydraq,f,4930
aurora,f,4930
9002 rat,f,4930
derusbi,f,4930
derusbi,f,4930
photo,f,4930
hidedrv,f,4936
hidedrv,f,4936
advstoreshell,f,4936
advstoreshell,f,4936
azzy,f,4936
eviltoss,f,4936
netui,f,4936
sedreco,f,4936
komplex,f,4936
komplex,f,4936
jhuhugit,f,4936
jhuhugit,f,4936
seduploader,f,4936
jkeyskw,f,4936
sednit,f,4936
gamefish,f,4936
sofacycarberp,f,4936
dealerschoice,f,4936
dealerschoice,f,4936
xtunnel,f,4936
xtunnel,f,4936
x-tunnel,f,4936
xaps,f,4936
usbstealer,f,4936
usbstealer,f,4936
usb stealer,f,4936
win32/usbstealer,f,4936
coreshell,f,4936
coreshell,f,4936
sourface,f,4936
chopstick,f,4936
chopstick,f,4936
splm,f,4936
xagent,f,4936
x-agent,f,4936
webhp,f,4936
zebrocy,f,4936
zebrocy,f,4936
xagentosx,f,4936
xagentosx,f,4936
oldbait,f,4936
oldbait,f,4936
sasfis,f,4936
x-agent for android,f,4936
x-agent for android,f,4936
mimikatz,t,4936
mimikatz,t,4936
responder,t,4936
responder,t,4936
koadic,t,4936
koadic,t,4936
winexe,t,4936
winexe,t,4936
forfiles,t,4936
forfiles,t,4936
certutil,t,4936
certutil,t,4936
certutil.exe,t,4936
truvasys,f,4948
truvasys,f,4948
blackcoffee,f,4951
blackcoffee,f,4951
plugx,f,4953
plugx,f,4953
sogu,f,4953
kaba,f,4953
korplug,f,4953
uppercut,f,4953
uppercut,f,4953
anel,f,4953
poisonivy,f,4953
poisonivy,f,4953
poison ivy,f,4953
darkmoon,f,4953
snugride,f,4953
snugride,f,4953
redleaves,f,4953
redleaves,f,4953
bugjuice,f,4953
chches,f,4953
chches,f,4953
scorpion,f,4953
haymaker,f,4953
evilgrab,f,4953
evilgrab,f,4953
mimikatz,t,4953
mimikatz,t,4953
powersploit,t,4953
powersploit,t,4953
cmd,t,4953
cmd,t,4953
cmd.exe,t,4953
ping,t,4953
ping.exe,t,4953
ping,t,4953
pwdump,t,4953
pwdump,t,4953
psexec,t,4953
psexec,t,4953
net,t,4953
net,t,4953
net.exe,t,4953
certutil,t,4953
certutil,t,4953
certutil.exe,t,4953
ddkong,f,4960
ddkong,f,4960
plaintee,f,4960
plaintee,f,4960
reg,t,4960
reg,t,4960
reg.exe,t,4960
certutil,t,4960
certutil,t,4960
certutil.exe,t,4960
phoreal,f,4962
phoreal,f,4962
windshield,f,4962
windshield,f,4962
soundbite,f,4962
soundbite,f,4962
komprogo,f,4962
komprogo,f,4962
mimikatz,t,4962
mimikatz,t,4962
cobalt strike,t,4962
cobalt strike,t,4962
bubblewrap,f,4966
bubblewrap,f,4966
backdoor.apt.fakewinhttphelper,f,4966
lowball,f,4966
lowball,f,4966
poisonivy,f,4966
poisonivy,f,4966
poison ivy,f,4966
darkmoon,f,4966
netstat,t,4966
netstat,t,4966
netstat.exe,t,4966
systeminfo,t,4966
systeminfo.exe,t,4966
systeminfo,t,4966
ipconfig,t,4966
ipconfig,t,4966
ipconfig.exe,t,4966
net,t,4966
net,t,4966
net.exe,t,4966
downpaper,f,4968
downpaper,f,4968
gh0st,f,4970
gh0st,f,4970
pisloader,f,4970
pisloader,f,4970
hcdloader,f,4970
hcdloader,f,4970
httpbrowser,f,4970
httpbrowser,f,4970
token control,f,4970
httpdump,f,4970
cmd,t,4970
cmd,t,4970
cmd.exe,t,4970
gazer,f,4973
gazer,f,4973
whitebear,f,4973
comrat,f,4973
comrat,f,4973
kazuar,f,4973
kazuar,f,4973
mosquito,f,4973
mosquito,f,4973
epic,f,4973
epic,f,4973
tavdig,f,4973
wipbot,f,4973
worldcupsec,f,4973
tadjmakhal,f,4973
uroburos,f,4973
uroburos,f,4973
reg,t,4973
reg,t,4973
reg.exe,t,4973
tasklist,t,4973
tasklist,t,4973
mimikatz,t,4973
mimikatz,t,4973
nbtstat,t,4973
nbtstat,t,4973
nbtstat.exe,t,4973
netstat,t,4973
netstat,t,4973
netstat.exe,t,4973
net,t,4973
net,t,4973
net.exe,t,4973
systeminfo,t,4973
systeminfo.exe,t,4973
systeminfo,t,4973
arp,t,4973
arp,t,4973
arp.exe,t,4973
quasarrat,t,4980
quasarrat,t,4980
xrat,t,4980
elmer,f,4982
elmer,f,4982
happywork,f,4984
happywork,f,4984
navrat,f,4984
navrat,f,4984
dogcall,f,4984
dogcall,f,4984
pooraim,f,4984
pooraim,f,4984
coraldeck,f,4984
coraldeck,f,4984
slowdrift,f,4984
slowdrift,f,4984
winerack,f,4984
winerack,f,4984
rokrat,f,4984
rokrat,f,4984
karae,f,4984
karae,f,4984
shutterspeed,f,4984
shutterspeed,f,4984
3para rat,f,4988
3para rat,f,4988
httpclient,f,4988
httpclient,f,4988
pngdowner,f,4988
pngdowner,f,4988
4h rat,f,4988
4h rat,f,4988
psexec,t,4991
psexec,t,4991
windows credential editor,t,4991
windows credential editor,t,4991
wce,t,4991
psylo,f,4995
psylo,f,4995
fakem,f,4995
fakem,f,4995
callme,f,4995
callme,f,4995
mobileorder,f,4995
mobileorder,f,4995
carbanak,f,4997
carbanak,f,4997
anunak,f,4997
psexec,t,4997
psexec,t,4997
mimikatz,t,4997
mimikatz,t,4997
netsh,t,4997
netsh,t,4997
netsh.exe,t,4997
adbupd,f,5002
adbupd,f,5002
dipsind,f,5002
dipsind,f,5002
jpin,f,5002
jpin,f,5002
emissary,f,5004
emissary,f,5004
elise,f,5004
elise,f,5004
bkdr_esile,f,5004
page,f,5004
